location,five_objective_nondominated
Abu Dhabi,True
Alice Springs,True
Antofagasta,True
Aswan,True
Dunhuang,True
Jodhpur,True
Las Vegas,True
NEOM Bay/Sharma,True
Ouarzazate,True
Phoenix,True
